Categories,pval,Bonferroni,B&H_FDR_adjusted_pval,B&Y_FDR_adjusted_pval
Cycloparaffins,0.8212328433857223,1.0,0.8872044568433011,1.0
Anti-Bacterial Agents,0.8298742893413438,1.0,0.8940634608926079,1.0
OAT3/SLC22A8 Substrates,0.8427775524972823,1.0,0.902975949104231,1.0
Ribonucleosides,0.8427775524972823,1.0,0.902975949104231,1.0
P-glycoprotein/ABCB1 Inhibitors,0.8480140298008413,1.0,0.9060971825269263,1.0
Noxae,0.861742898233574,1.0,0.9182506292652838,1.0
Nucleosides,0.8703556357201744,1.0,0.9249010842802943,1.0
Enzymes and Coenzymes,0.8784356265604736,1.0,0.9249610836598915,1.0
Cytochrome P-450 CYP1A2 Inhibitors,0.8784356265604736,1.0,0.9249610836598915,1.0
Psychotropic Drugs,0.8784356265604736,1.0,0.9249610836598915,1.0
Amides,0.8798988770200505,1.0,0.9249610836598915,1.0
Coenzymes,0.8860155898339048,1.0,0.9288873119226421,1.0
Carbohydrates,0.8914286765435744,1.0,0.9320567931688847,1.0
Cytochrome P-450 CYP2D6 Inhibitors,0.9119222075489513,1.0,0.9509349223104037,1.0
beta-Lactams,0.9219999837916785,1.0,0.9544037628216676,1.0
Pyrimidines,0.9225903040609453,1.0,0.9544037628216676,1.0
Cytochrome P-450 CYP2D6 Substrates,0.9225903040609453,1.0,0.9544037628216676,1.0
Antiinfectives for Systemic Use,0.9315346558140283,1.0,0.9611071845700292,1.0
P-glycoprotein/ABCB1 Substrates,0.9362343857736202,1.0,0.9615498347109387,1.0
Azabicyclo Compounds,0.9368947107439916,1.0,0.9615498347109387,1.0
Aza Compounds,0.943297168882977,1.0,0.9637444829313303,1.0
Sensory Organs,0.9439753653327388,1.0,0.9637444829313303,1.0
Antibacterials for Systemic Use,0.9527508559151656,1.0,0.9692187582913625,1.0
Lactams,0.9543077004714955,1.0,0.9692187582913625,1.0
Glycosides,0.9630593942928002,1.0,0.9755666591537456,1.0
Nephrotoxic agents,0.9687560511190734,1.0,0.9787949739285974,1.0
Nervous System,0.9774375155056363,1.0,0.9824758532144282,1.0
Purines,0.9774375155056363,1.0,0.9824758532144282,1.0
QTc Prolonging Agents,0.9826206331265464,1.0,0.9851466501782855,1.0
"Nucleic Acids, Nucleotides, and Nucleosides",0.9903578649124952,1.0,0.9903578649124952,1.0
