Chemical compound	Metabolic activity	Microbial species or host cell-type	Reference # (Supplementary Data 2a)
D-Glucose (Glucose)	Consumption (import)	Fibrobacter succinogenes (Bacteroides succinogenes)	[205,287]
D-Glucose (Glucose)	Consumption (import)	Flavobacterium johnsoniae	[424]
D-Glucose (Glucose)	Consumption (import)	Fusobacterium nucleatum	[182]
D-Glucose (Glucose)	Consumption (import)	Haemophilus influenzae	[126]
D-Glucose (Glucose)	Consumption (import)	Haemophilus parainfluenzae	[126]
D-Glucose (Glucose)	Consumption (import)	Haloarcula marismortui	[303]
D-Glucose (Glucose)	Consumption (import)	Halobacterium salinarum	[297]
D-Glucose (Glucose)	Consumption (import)	Haloferax volcanii	[6,297]
D-Glucose (Glucose)	Consumption (import)	Holdemania filiformis	[358,359]
D-Glucose (Glucose)	Consumption (import)	Klebsiella pneumoniae	[133]
D-Glucose (Glucose)	Consumption (import)	Lactobacillus acidophilus	[264]
D-Glucose (Glucose)	Consumption (import)	Lactobacillus amylovorus	[264]
D-Glucose (Glucose)	Consumption (import)	Lactobacillus gasseri	[264]
D-Glucose (Glucose)	Consumption (import)	Lactobacillus johnsonii	[264]
D-Glucose (Glucose)	Consumption (import)	Lactobacillus plantarum	[179]
D-Glucose (Glucose)	Consumption (import)	Leptotrichia buccalis	[338]
D-Glucose (Glucose)	Consumption (import)	Leptotrichia goodfellowii	[338]
D-Glucose (Glucose)	Consumption (import)	Leptotrichia hofstadii	[338]
D-Glucose (Glucose)	Consumption (import)	Leuconostoc mesenteroides	[154,339]
D-Glucose (Glucose)	Consumption (import)	Marvinbryantia formatexigens	[364]
D-Glucose (Glucose)	Consumption (import)	Megamonas hypermegale	[277]
D-Glucose (Glucose)	Consumption (import)	Megasphaera micronuciformis	[197]
D-Glucose (Glucose)	Consumption (import)	Methanocaldococcus jannaschii	[303]
D-Glucose (Glucose)	Consumption (import)	Odoribacter splanchnicus	[107]
D-Glucose (Glucose)	Consumption (import)	Parabacteroides distasonis	[276]
D-Glucose (Glucose)	Consumption (import)	Parabacteroides merdae	[276]
D-Glucose (Glucose)	Consumption (import)	Peptostreptococcus anaerobius	[90,307]
D-Glucose (Glucose)	Consumption (import)	Picrophilus torridus	[303]
D-Glucose (Glucose)	Consumption (import)	Prevotella copri	[116]
D-Glucose (Glucose)	Consumption (import)	Prevotella ruminicola (Bacteroides ruminicola)	[205,244]
D-Glucose (Glucose)	Consumption (import)	Propionibacterium acnes	[197]
D-Glucose (Glucose)	Consumption (import)	Propionibacterium freudenreichii (Propionibacterium shermanii)	[197]
D-Glucose (Glucose)	Consumption (import)	Pseudomonas aeruginosa	[339,344]
D-Glucose (Glucose)	Consumption (import)	Pseudomonas mendocina	[133]
D-Glucose (Glucose)	Consumption (import)	Pyrobaculum aerophilum	[303]
D-Glucose (Glucose)	Consumption (import)	Pyrococcus furiosus	[303]
D-Glucose (Glucose)	Consumption (import)	Pyrococcus horikoshii	[303]
D-Glucose (Glucose)	Consumption (import)	Ralstonia pickettii	[133]
D-Glucose (Glucose)	Consumption (import)	Roseburia intestinalis	[82,83]
D-Glucose (Glucose)	Consumption (import)	Ruminococcus albus	[168,205,318]
D-Glucose (Glucose)	Consumption (import)	Ruminococcus obeum	[181,326]
D-Glucose (Glucose)	Consumption (import)	Selenomonas artemidis	[197]
D-Glucose (Glucose)	Consumption (import)	Selenomonas flueggei	[197]
D-Glucose (Glucose)	Consumption (import)	Selenomonas noxia	[197]
D-Glucose (Glucose)	Consumption (import)	Selenomonas sputigena	[197]
D-Glucose (Glucose)	Consumption (import)	Shigella boydii	[365]
D-Glucose (Glucose)	Consumption (import)	Sodalis glossinidius	[309]
D-Glucose (Glucose)	Consumption (import)	Streptococcus bovis (Streptococcus equinus)	[205]
D-Glucose (Glucose)	Consumption (import)	Streptococcus gordonii	[141]
D-Glucose (Glucose)	Consumption (import)	Streptococcus mutans	[187,205]
D-Glucose (Glucose)	Consumption (import)	Subdoligranulum variabile	[128]
D-Glucose (Glucose)	Consumption (import)	Sulfolobus acidocaldarius	[284]
D-Glucose (Glucose)	Consumption (import)	Sulfolobus solfataricus	[6,7,284,303]
D-Glucose (Glucose)	Consumption (import)	Thermococcus barophilus	[303]
D-Glucose (Glucose)	Consumption (import)	Thermococcus gammatolerans	[303]
D-Glucose (Glucose)	Consumption (import)	Thermococcus kodakaraensis	[303]
D-Glucose (Glucose)	Consumption (import)	Thermococcus onnurineus	[303]
D-Glucose (Glucose)	Consumption (import)	Thermococcus sibiricus	[303]
D-Glucose (Glucose)	Consumption (import)	Thermoplasma acidophilum	[303]
D-Glucose (Glucose)	Consumption (import)	Thermotoga maritima	[219]
D-Glucose (Glucose)	Consumption (import)	Xanthomonas campestris	[331]
D-Glucose (Glucose)	Consumption (import)	Zymomonas mobilis	[205,339]
D-Glucuronic acid (D-Glucuronate)	Consumption (import)	Actinobacillus succinogenes	[112]
D-Glucuronic acid (D-Glucuronate)	Consumption (import)	Bacteroides eggerthii	[279]
D-Glucuronic acid (D-Glucuronate)	Consumption (import)	Bacteroides fragilis	[279]
D-Glucuronic acid (D-Glucuronate)	Consumption (import)	Bacteroides ovatus	[204,279]
D-Glucuronic acid (D-Glucuronate)	Consumption (import)	Bacteroides thetaiotaomicron	[204,279]
D-Glucuronic acid (D-Glucuronate)	Consumption (import)	Bacteroides vulgatus	[279]
D-Glucuronic acid (D-Glucuronate)	Consumption (import)	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	[62]
D-Glucuronic acid (D-Glucuronate)	Consumption (import)	Butyrivibrio proteoclasticus	[152]
D-Glucuronic acid (D-Glucuronate)	Consumption (import)	Escherichia coli	[29,240]
D-Glucuronic acid (D-Glucuronate)	Consumption (import)	Methylobacterium nodulans	[427]
D-Lyxose (L-Lyxose)	Consumption (import)	Bacteroides thetaiotaomicron	[301]
D-Lyxose (L-Lyxose)	Consumption (import)	Colonocyte (host colon)	[336]
D-Lyxose (L-Lyxose)	Consumption (import)	Methylobacterium nodulans	[427]
D-Mannitol (Mannitol)	Consumption (import)	Acidovorax avenae	[360]
D-Mannitol (Mannitol)	Consumption (import)	Acidovorax delafieldii	[360]
D-Mannitol (Mannitol)	Consumption (import)	Actinobacillus succinogenes	[112]
D-Mannitol (Mannitol)	Consumption (import)	Aeromicrobium marinum	[36]
D-Mannitol (Mannitol)	Consumption (import)	Bacteroides xylanisolvens	[44]
D-Mannitol (Mannitol)	Consumption (import)	Bifidobacterium bifidum	[155]
D-Mannitol (Mannitol)	Consumption (import)	Clostridium difficile	[335]
D-Mannitol (Mannitol)	Consumption (import)	Coprococcus catus	[124]
D-Mannitol (Mannitol)	Consumption (import)	Holdemania filiformis	[358]
D-Mannitol (Mannitol)	Consumption (import)	Lactobacillus acidophilus	[398]
D-Mannitol (Mannitol)	Consumption (import)	Lactobacillus casei	[398]
D-Mannitol (Mannitol)	Consumption (import)	Lactobacillus delbrueckii	[397]
D-Mannitol (Mannitol)	Consumption (import) & production (export)	Lactobacillus fermentum	[398,399]
D-Mannitol (Mannitol)	Consumption (import)	Lactobacillus gasseri	[398]
D-Mannitol (Mannitol)	Consumption (import)	Lactobacillus paracasei	[398]
D-Mannitol (Mannitol)	Consumption (import)	Lactobacillus plantarum	[381]
D-Mannitol (Mannitol)	Production (export)	Lactobacillus reuteri	[399]
D-Mannitol (Mannitol)	Consumption (import)	Lactobacillus rhamnosus	[381]
D-Mannitol (Mannitol)	Consumption (import)	Lactobacillus salivarius	[398]
D-Mannitol (Mannitol)	Consumption (import)	Mycobacterium smegmatis	[50]
D-Mannitol (Mannitol)	Consumption (import)	Shigella boydii	[365]
D-Mannitol (Mannitol)	Consumption (import)	Streptococcus agalactiae	[238]
D-Mannitol (Mannitol)	Consumption (import)	Streptococcus anginosus	[238]
D-Mannitol (Mannitol)	Consumption (import)	Streptococcus australis	[238]
D-Mannitol (Mannitol)	Consumption (import)	Streptococcus bovis (Streptococcus equinus)	[238]
D-Mannitol (Mannitol)	Consumption (import)	Streptococcus cristatus	[238]
D-Mannitol (Mannitol)	Consumption (import)	Streptococcus downei	[238]
D-Mannitol (Mannitol)	Consumption (import)	Streptococcus dysgalactiae	[238]
D-Mannitol (Mannitol)	Consumption (import)	Streptococcus equi	[238]
D-Mannitol (Mannitol)	Consumption (import)	Streptococcus gallolyticus	[238]
D-Mannitol (Mannitol)	Consumption (import)	Streptococcus gordonii	[238]
D-Mannitol (Mannitol)	Consumption (import)	Streptococcus infantarius	[238]
D-Mannitol (Mannitol)	Consumption (import)	Streptococcus infantis	[238]
D-Mannitol (Mannitol)	Consumption (import)	Streptococcus mitis	[238]
D-Mannitol (Mannitol)	Consumption (import)	Streptococcus mutans	[238]
D-Mannitol (Mannitol)	Consumption (import)	Streptococcus oralis	[238]
D-Mannitol (Mannitol)	Consumption (import)	Streptococcus parasanguinis	[238]
D-Mannitol (Mannitol)	Consumption (import)	Streptococcus peroris	[238]
D-Mannitol (Mannitol)	Consumption (import)	Streptococcus pneumoniae	[238]
D-Mannitol (Mannitol)	Consumption (import)	Streptococcus pseudoporcinus	[238]
D-Mannitol (Mannitol)	Consumption (import)	Streptococcus pyogenes	[238]
D-Mannitol (Mannitol)	Consumption (import)	Streptococcus salivarius	[238]
D-Mannitol (Mannitol)	Consumption (import)	Streptococcus sanguinis	[238]
D-Mannitol (Mannitol)	Consumption (import)	Streptococcus suis	[238]
D-Mannitol (Mannitol)	Consumption (import)	Streptococcus thermophilus	[238]
D-Mannitol (Mannitol)	Consumption (import)	Streptococcus uberis	[238]
D-Mannitol (Mannitol)	Consumption (import)	Streptococcus vestibularis	[238]
D-Mannose (Mannose)	Consumption (import)	Achromobacter xylosoxidans	[254]
D-Mannose (Mannose)	Consumption (import)	Acidovorax delafieldii	[360]
D-Mannose (Mannose)	Consumption (import)	Alistipes shahii	[310]
D-Mannose (Mannose)	Consumption (import)	Anaerococcus hydrogenalis	[90]
D-Mannose (Mannose)	Consumption (import)	Anaerococcus lactolyticus	[90]
D-Mannose (Mannose)	Consumption (import)	Anaerococcus prevotii	[90]
D-Mannose (Mannose)	Consumption (import)	Anaerococcus tetradius	[90]
D-Mannose (Mannose)	Consumption (import)	Anaerococcus vaginalis	[90]
D-Mannose (Mannose)	Consumption (import)	Anaerotruncus colihominis	[170]
D-Mannose (Mannose)	Consumption (import)	Bacteroides ovatus	[204]
D-Mannose (Mannose)	Consumption (import)	Bacteroides thetaiotaomicron	[11,118,198,204]
D-Mannose (Mannose)	Consumption (import)	Bacteroides xylanisolvens	[44]
D-Mannose (Mannose)	Consumption (import)	Baumannia cicadellinicola	[368]
D-Mannose (Mannose)	Consumption (import)	Blautia hydrogenotrophica (Ruminococcus hydrogenotrophicus)	[24]
D-Mannose (Mannose)	Consumption (import)	Butyrivibrio fibrisolvens	[217]
D-Mannose (Mannose)	Consumption (import)	Butyrivibrio proteoclasticus	[217]
D-Mannose (Mannose)	Consumption (import)	Catenibacterium mitsuokai	[146]
D-Mannose (Mannose)	Consumption (import)	Clostridium acetobutylicum	[278]
D-Mannose (Mannose)	Consumption (import)	Collinsella aerofaciens (Eubacterium aerofaciens)	[333]
D-Mannose (Mannose)	Consumption (import)	Collinsella intestinalis	[145]
D-Mannose (Mannose)	Consumption (import)	Colonocyte (host colon)	[336]
D-Mannose (Mannose)	Consumption (import)	Coprococcus eutactus	[124]
D-Mannose (Mannose)	Consumption (import)	Flavobacterium johnsoniae	[424]
D-Mannose (Mannose)	Consumption (import)	Holdemania filiformis	[358]
D-Mannose (Mannose)	Consumption (import)	Lactobacillus acidophilus	[264]
D-Mannose (Mannose)	Consumption (import)	Leptotrichia buccalis	[87]
D-Mannose (Mannose)	Consumption (import)	Leptotrichia goodfellowii	[87]
D-Mannose (Mannose)	Consumption (import)	Marvinbryantia formatexigens	[364]
D-Mannose (Mannose)	Consumption (import)	Megamonas hypermegale	[277]
D-Mannose (Mannose)	Consumption (import)	Odoribacter splanchnicus	[107]
D-Mannose (Mannose)	Consumption (import)	Parabacteroides distasonis	[276]
D-Mannose (Mannose)	Consumption (import)	Parabacteroides merdae	[276]
D-Mannose (Mannose)	Consumption (import)	Peptostreptococcus anaerobius	[90]
D-Mannose (Mannose)	Consumption (import)	Ruminococcus obeum	[181]
D-Mannose (Mannose)	Consumption (import)	Shigella boydii	[365]
D-Mannose (Mannose)	Consumption (import)	Subdoligranulum variabile	[128]
D-Mannose (Mannose)	Consumption (import)	Sulfolobus solfataricus	[7]
D-Psicose	Consumption (import)	Bacteroides ovatus	[393]
D-Psicose	Consumption (import)	Bacteroides thetaiotaomicron	[238]
D-Psicose	Consumption (import)	Bacteroides uniformis	[238]
D-Psicose	Consumption (import)	Bacteroides xylanisolvens	[393]
D-Psicose	Consumption (import)	Bifidobacterium adolescentis	[238]
D-Psicose	Consumption (import)	Bifidobacterium angulatum	[238]
D-Psicose	Consumption (import)	Bifidobacterium animalis	[238]
D-Psicose	Consumption (import)	Bifidobacterium bifidum	[238]
D-Psicose	Consumption (import)	Bifidobacterium breve	[238]
D-Psicose	Consumption (import)	Bifidobacterium catenulatum	[238]
D-Psicose	Consumption (import)	Bifidobacterium dentium	[238,238]
D-Psicose	Consumption (import)	Bifidobacterium gallicum	[238]
D-Psicose	Consumption (import)	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	[238,238]
D-Psicose	Consumption (import)	Bifidobacterium pseudocatenulatum	[238]
D-Psicose	Consumption (import)	Ruminococcus albus	[238]
D-Psicose	Consumption (import)	Ruminococcus bromii	[238]
D-Psicose	Consumption (import)	Ruminococcus flavefaciens	[238]
D-Psicose	Consumption (import)	Ruminococcus gnavus	[238]
D-Psicose	Consumption (import)	Ruminococcus lactaris	[238]
D-Psicose	Consumption (import)	Ruminococcus obeum	[238]
D-Psicose	Consumption (import)	Ruminococcus torques	[238]
D-Ribose (Ribose)	Consumption (import)	Acidovorax avenae	[360]
D-Ribose (Ribose)	Consumption (import)	Acidovorax delafieldii	[360]
D-Ribose (Ribose)	Consumption (import)	Bacteroides ovatus	[204]
D-Ribose (Ribose)	Consumption (import)	Bacteroides thetaiotaomicron	[204]
D-Ribose (Ribose)	Consumption (import)	Bifidobacterium breve	[246,247]
D-Ribose (Ribose)	Consumption (import)	Collinsella aerofaciens (Eubacterium aerofaciens)	[145]
D-Ribose (Ribose)	Consumption (import)	Collinsella intestinalis	[145]
D-Ribose (Ribose)	Consumption (import)	Colonocyte (host colon)	[336]
D-Ribose (Ribose)	Consumption (import)	Enterococcus faecalis (Streptococcus faecalis)	[166]
D-Ribose (Ribose)	Consumption (import)	Escherichia coli	[6,29]
D-Ribose (Ribose)	Consumption (import)	Holdemania filiformis	[358]
D-Ribose (Ribose)	Consumption (import)	Methylobacterium nodulans	[427]
D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol)	Consumption (import)	Acidovorax avenae	[360]
D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol)	Consumption (import)	Acidovorax delafieldii	[360]
D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol)	Consumption (import)	Actinobacillus succinogenes	[112]
D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol)	Consumption (import)	Aeromonas salmonicida	[2]
D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol)	Consumption (import)	Bacteroides xylanisolvens	[44]
D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol)	Consumption (import)	Clostridium difficile	[335]
D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol)	Consumption (import)	Colonocyte (host colon)	[336]
D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol)	Consumption (import)	Dorea longicatena	[333]
D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol)	Consumption (import)	Holdemania filiformis	[358]
D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol)	Consumption (import)	Salmonella enterica	[238]
D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol)	Consumption (import)	Shigella boydii	[365,238]
D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol)	Consumption (import)	Shigella dysenteriae	[238]
D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol)	Consumption (import)	Shigella flexneri	[238]
D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol)	Consumption (import)	Shigella sonnei	[238]
D-Tagatose	Consumption (import)	Enterococcus casseliflavus	[238]
D-Tagatose	Consumption (import)	Enterococcus faecalis (Streptococcus faecalis)	[238]
D-Tagatose	Consumption (import)	Enterococcus faecium (Streptococcus faecium)	[238]
D-Tagatose	Consumption (import)	Enterococcus gallinarum	[238]
D-Tagatose	Consumption (import)	Enterococcus italicus	[238]
D-Tagatose	Consumption (import)	Lactobacillus casei	[400]
D-Tagatose	Consumption (import)	Lactobacillus fermentum	[400]
D-Tagatose	Consumption (import)	Lactobacillus helveticus	[400]
D-Tagatose	Consumption (import)	Lactobacillus paracasei	[400]
D-Tagatose	Consumption (import)	Lactobacillus rhamnosus	[400]
D-Tagaturonate	Consumption (import)	Escherichia coli	[240]
D-Turanose	Consumption (import)	Anaerotruncus colihominis	[170]
D-Turanose	Consumption (import)	Leptotrichia buccalis	[338]
D-Turanose	Consumption (import)	Leptotrichia hofstadii	[338]
D-Turanose	Consumption (import)	Subdoligranulum variabile	[128]
D-Xylose (Xylose)	Consumption (import)	Achromobacter xylosoxidans	[254]
D-Xylose (Xylose)	Consumption (import)	Actinobacillus succinogenes	[112]
D-Xylose (Xylose)	Consumption (import)	Bacteroides ovatus	[204]
D-Xylose (Xylose)	Consumption (import)	Bacteroides thetaiotaomicron	[11,204]
D-Xylose (Xylose)	Consumption (import)	Bacteroides xylanisolvens	[44]
D-Xylose (Xylose)	Consumption (import)	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	[345]
D-Xylose (Xylose)	Consumption (import)	Butyrivibrio fibrisolvens	[217,351]
D-Xylose (Xylose)	Consumption (import)	Butyrivibrio proteoclasticus	[152,217]
D-Xylose (Xylose)	Consumption (import)	Clostridium acetobutylicum	[278]
D-Xylose (Xylose)	Consumption (import)	Colonocyte (host colon)	[336]
D-Xylose (Xylose)	Consumption (import)	Coprococcus comes	[124]
D-Xylose (Xylose)	Consumption (import)	Dorea longicatena	[333]
D-Xylose (Xylose)	Consumption (import)	Flavobacterium johnsoniae	[424]
D-Xylose (Xylose)	Consumption (import)	Haloferax volcanii	[284]
D-Xylose (Xylose)	Consumption (import)	Holdemania filiformis	[358]
D-Xylose (Xylose)	Consumption (import)	Klebsiella pneumoniae	[178]
D-Xylose (Xylose)	Consumption (import)	Marvinbryantia formatexigens	[256,364]
D-Xylose (Xylose)	Consumption (import)	Megamonas hypermegale	[277]
D-Xylose (Xylose)	Consumption (import)	Methylobacterium nodulans	[427]
D-Xylose (Xylose)	Consumption (import)	Parabacteroides distasonis	[276]
D-Xylose (Xylose)	Consumption (import)	Parabacteroides merdae	[276]
D-Xylose (Xylose)	Consumption (import)	Prevotella copri	[116]
D-Xylose (Xylose)	Consumption (import)	Prevotella ruminicola (Bacteroides ruminicola)	[205]
D-Xylose (Xylose)	Consumption (import)	Roseburia intestinalis	[83]
D-Xylose (Xylose)	Consumption (import)	Ruminococcus obeum	[181]
D-Xylose (Xylose)	Consumption (import)	Shigella boydii	[365]
D-Xylose (Xylose)	Consumption (import)	Sulfolobus acidocaldarius	[284]
D-Xylose (Xylose)	Consumption (import)	Sulfolobus solfataricus	[284]
D-Xylulose (Xylulose, L-Xylulose)	Consumption (import)	Mycobacterium smegmatis	[50]
Deoxycholic acid	Production (export)	Bacteroides fragilis	[29,257]
Deoxycholic acid	Production (export)	Bacteroides thetaiotaomicron	[29]
Deoxycholic acid	Production (export)	Bacteroides vulgatus	[257]
Deoxycholic acid	Production (export)	Bifidobacterium adolescentis	[29,330]
Deoxycholic acid	Production (export)	Bifidobacterium animalis	[330]
Deoxycholic acid	Production (export)	Bifidobacterium bifidum	[29,257,330]
Deoxycholic acid	Production (export)	Bifidobacterium breve	[330]
Deoxycholic acid	Production (export)	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	[29,257,330]
Deoxycholic acid	Production (export)	Bilophila wadsworthia	[75]
Deoxycholic acid	Production (export)	Clostridium hiranonis	[208,257]
Deoxycholic acid	Production (export)	Clostridium hylemonae	[208]
Deoxycholic acid	Production (export)	Clostridium leptum	[29,98,208]
Deoxycholic acid	Production (export)	Clostridium perfringens	[29,257]
Deoxycholic acid	Production (export)	Clostridium scindens	[29,98,208,257]
Deoxycholic acid	Production (export)	Lactobacillus acidophilus	[16,330]
Deoxycholic acid	Production (export)	Lactobacillus brevis	[330]
Deoxycholic acid	Production (export)	Lactobacillus buchneri	[330]
Deoxycholic acid	Production (export)	Lactobacillus gasseri	[16,330]
Deoxycholic acid	Production (export)	Lactobacillus hilgardii	[330]
Deoxycholic acid	Production (export)	Lactobacillus johnsonii	[16,29,257,330]
Deoxycholic acid	Production (export)	Lactobacillus plantarum	[16,29,257,330]
Deoxycholic acid	Production (export)	Listeria monocytogenes	[16,17,257]
Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Consumption (import)	Anaerotruncus colihominis	[170]
Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Consumption (import)	Bacteroides caccae	[391]
Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Consumption (import)	Bacteroides fragilis	[392]
Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Consumption (import)	Bacteroides ovatus	[392]
Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Consumption (import)	Bacteroides stercoris	[391]
Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Consumption (import)	Bacteroides thetaiotaomicron	[118,301]
Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Consumption (import)	Bacteroides vulgatus	[392]
Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Consumption (import)	Bifidobacterium adolescentis	[345]
Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Consumption (import)	Bifidobacterium breve	[104]
Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Consumption (import)	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	[104,147,345]
Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Consumption (import)	Bifidobacterium pseudocatenulatum	[104]
Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Consumption (import)	Butyrivibrio crossotus	[217]
Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Consumption (import)	Butyrivibrio fibrisolvens	[217]
Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Consumption (import)	Butyrivibrio proteoclasticus	[217]
Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Consumption (import)	Clostridium acetobutylicum	[104]
Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Consumption (import)	Clostridium asparagiforme	[104]
Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Consumption (import)	Clostridium bartlettii	[104]
Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Consumption (import)	Clostridium beijerinckii	[104]
Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Consumption (import)	Clostridium bolteae	[104]
Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Consumption (import)	Clostridium botulinum	[104]
Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Consumption (import)	Clostridium butyricum	[104]
Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Consumption (import)	Clostridium carboxidivorans	[104]
Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Consumption (import)	Clostridium cellulolyticum	[104]
Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Consumption (import)	Clostridium cellulovorans	[104]
Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Consumption (import)	Clostridium cf	[104]
Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Consumption (import)	Clostridium difficile	[104]
Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Consumption (import)	Clostridium hathewayi	[104]
Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Consumption (import)	Clostridium hiranonis	[104]
Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Consumption (import)	Clostridium hylemonae	[104]
Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Consumption (import)	Clostridium kluyveri	[104]
Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Consumption (import)	Clostridium leptum	[104]
Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Consumption (import)	Clostridium ljungdahlii	[104]
Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Consumption (import)	Clostridium methylpentosum	[104]
Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Consumption (import)	Clostridium nexile	[104]
Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Consumption (import)	Clostridium novyi	[104]
Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Consumption (import)	Clostridium papyrosolvens	[104]
Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Consumption (import)	Clostridium perfringens	[104]
Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Consumption (import)	Clostridium phytofermentans	[104]
Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Consumption (import)	Clostridium saccharolyticum	[104]
Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Consumption (import)	Clostridium scindens	[104]
Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Consumption (import)	Clostridium sporogenes	[104]
Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Consumption (import)	Clostridium sticklandii	[104]
Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Consumption (import)	Clostridium symbiosum	[104]
