Categories,pval,Bonferroni,B&H_FDR_adjusted_pval,B&Y_FDR_adjusted_pval
Macromolecular Substances,0.607288006,0.607288006,0.607288006,0.607288006
Polymers,0.607288006,0.607288006,0.607288006,0.607288006
Cytochrome P-450 CYP2E1 Inducers,0.607288006,0.607288006,0.607288006,0.607288006
Cytochrome P-450 CYP3A5 Inhibitors,0.607288006,0.607288006,0.607288006,0.607288006
Hormones,0.609682545,0.609682545,0.609682545,0.609682545
"Amino Acids, Basic",0.609682545,0.609682545,0.609682545,0.609682545
Cytochrome P-450 CYP3A7 Substrates,0.609682545,0.609682545,0.609682545,0.609682545
Purinones,0.609682545,0.609682545,0.609682545,0.609682545
"Fatty Acids, Unsaturated",0.613525098,0.613525098,0.613525098,0.613525098
Glucosamine,0.613525098,0.613525098,0.613525098,0.613525098
Antipsychotic Agents,0.613525098,0.613525098,0.613525098,0.613525098
Indoles,0.613525098,0.613525098,0.613525098,0.613525098
Catecholamines,0.613525098,0.613525098,0.613525098,0.613525098
Nonsteroidal Anti-inflammatory Compounds,0.613525098,0.613525098,0.613525098,0.613525098
Cytochrome P-450 CYP2A6 Inducers,0.613525098,0.613525098,0.613525098,0.613525098
Alkylating Activity,0.613525098,0.613525098,0.613525098,0.613525098
Flavins,0.613525098,0.613525098,0.613525098,0.613525098
Cytochrome P-450 CYP3A5 Inhibitors (strong),0.613525098,0.613525098,0.613525098,0.613525098
"Antineoplastic Agents, Alkylating",0.613525098,0.613525098,0.613525098,0.613525098
Vasoprotectives,0.613525098,0.613525098,0.613525098,0.613525098
Anticonvulsants,0.613525098,0.613525098,0.613525098,0.613525098
Antinematodal Agents,0.613525098,0.613525098,0.613525098,0.613525098
Luminescent Agents,0.613525098,0.613525098,0.613525098,0.613525098
Hormone Antagonists,0.613525098,0.613525098,0.613525098,0.613525098
Direct Acting Antivirals,0.613525098,0.613525098,0.613525098,0.613525098
Streptogramins,0.613525098,0.613525098,0.613525098,0.613525098
Folic Acid,0.613525098,0.613525098,0.613525098,0.613525098
Mydriatics and Cycloplegics,0.613525098,0.613525098,0.613525098,0.613525098
Chlorine Compounds,0.613525098,0.613525098,0.613525098,0.613525098
GABA Agents,0.613525098,0.613525098,0.613525098,0.613525098
Benzylidene Compounds,0.613525098,0.613525098,0.613525098,0.613525098
Other Macrolides,0.613525098,0.613525098,0.613525098,0.613525098
Erythromycin,0.613525098,0.613525098,0.613525098,0.613525098
Anticholesteremic Agents,0.613525098,0.613525098,0.613525098,0.613525098
Reproductive Control Agents,0.613525098,0.613525098,0.613525098,0.613525098
Adrenal Cortex Hormones,0.613525098,0.613525098,0.613525098,0.613525098
Antivirals for Systemic Use,0.613525098,0.613525098,0.613525098,0.613525098
Free Radical Scavengers,0.613525098,0.613525098,0.613525098,0.613525098
Protein Kinase Inhibitors,0.613525098,0.613525098,0.613525098,0.613525098
Benzyl Compounds,0.613525098,0.613525098,0.613525098,0.613525098
Nicotinic Acids,0.613525098,0.613525098,0.613525098,0.613525098
Alanine,0.613525098,0.613525098,0.613525098,0.613525098
"Lipid Modifying Agents, Plain",0.613525098,0.613525098,0.613525098,0.613525098
Drugs for Obstructive Airway Diseases,0.613525098,0.613525098,0.613525098,0.613525098
Deoxycholic Acid,0.613525098,0.613525098,0.613525098,0.613525098
Tranquilizing Agents,0.613525098,0.613525098,0.613525098,0.613525098
Prodrugs,0.613525098,0.613525098,0.613525098,0.613525098
Autonomic Agents,0.614142901,0.614142901,0.614142901,0.614142901
Agents causing hyperkalemia,0.669572099,0.669572099,0.669572099,0.669572099
Alimentary Tract and Metabolism,0.670955621,0.670955621,0.670955621,0.670955621
Imines,0.673460183,0.673460183,0.673460183,0.673460183
Oligosaccharides,0.673460183,0.673460183,0.673460183,0.673460183
"Amino Acids, Peptides, and Proteins",0.67349883,0.67349883,0.67349883,0.67349883
Cytochrome P-450 CYP3A4 Inhibitors (moderate),0.684551688,0.684551688,0.684551688,0.684551688
Xanthine derivatives,0.684551688,0.684551688,0.684551688,0.684551688
Nasal Preparations,0.684551688,0.684551688,0.684551688,0.684551688
Fatty Alcohols,0.684551688,0.684551688,0.684551688,0.684551688
BSEP/ABCB11 Inhibitors,0.684551688,0.684551688,0.684551688,0.684551688
Cytochrome P-450 CYP2C19 Inhibitors (strong),0.684551688,0.684551688,0.684551688,0.684551688
Antituberculosis Agents,0.684551688,0.684551688,0.684551688,0.684551688
Laxatives,0.684551688,0.684551688,0.684551688,0.684551688
Cardiotoxic antineoplastic agents,0.684551688,0.684551688,0.684551688,0.684551688
Alcohols,0.71022764,0.71022764,0.71022764,0.71022764
Toxic Actions,0.710888425,0.710888425,0.710888425,0.710888425
Isoquinolines,0.718586236,0.718586236,0.718586236,0.718586236
Lipid Modifying Agents,0.718586236,0.718586236,0.718586236,0.718586236
Hexoses,0.718586236,0.718586236,0.718586236,0.718586236
Selective Immunosuppressants,0.718586236,0.718586236,0.718586236,0.718586236
UGT1A1 Inhibitors,0.718586236,0.718586236,0.718586236,0.718586236
Bile Therapy,0.718586236,0.718586236,0.718586236,0.718586236
Antigout Preparations,0.718586236,0.718586236,0.718586236,0.718586236
Antiviral Agents,0.718586236,0.718586236,0.718586236,0.718586236
UGT1A6 substrate,0.718586236,0.718586236,0.718586236,0.718586236
Alkanesulfonic Acids,0.718586236,0.718586236,0.718586236,0.718586236
Flavonoids,0.718586236,0.718586236,0.718586236,0.718586236
Anticarcinogenic Agents,0.718586236,0.718586236,0.718586236,0.718586236
Antiinfectives for Treatment of Acne,0.718586236,0.718586236,0.718586236,0.718586236
Keratolytic Agents,0.718586236,0.718586236,0.718586236,0.718586236
Carbapenems,0.718586236,0.718586236,0.718586236,0.718586236
Various Alimentary Tract and Metabolism Products,0.718586236,0.718586236,0.718586236,0.718586236
Opioid Agonist,0.718586236,0.718586236,0.718586236,0.718586236
"Antiinflammatory and Antirheumatic Products, Non-Steroids",0.718586236,0.718586236,0.718586236,0.718586236
BSEP/ABCB11 inducers,0.718586236,0.718586236,0.718586236,0.718586236
Gases,0.718586236,0.718586236,0.718586236,0.718586236
Bradycardia-Causing Agents,0.718586236,0.718586236,0.718586236,0.718586236
Penem Antibacterial,0.718586236,0.718586236,0.718586236,0.718586236
Uncoupling Agents,0.718586236,0.718586236,0.718586236,0.718586236
Cyclohexanes,0.719262045,0.719262045,0.719262045,0.719262045
UGT1A1 Substrates,0.719262045,0.719262045,0.719262045,0.719262045
UGT1A9 Substrates,0.729207879,0.729207879,0.729207879,0.729207879
Polysaccharides,0.729207879,0.729207879,0.729207879,0.729207879
"Amino Acids, Diamino",0.729207879,0.729207879,0.729207879,0.729207879
Fatty Acids,0.742617102,0.742617102,0.742617102,0.742617102
Benzene Derivatives,0.742617102,0.742617102,0.742617102,0.742617102
Amines,0.745169608,0.745169608,0.745169608,0.745169608
Stomatological Preparations,0.748875008,0.748875008,0.748875008,0.748875008
Antiseptics and Disinfectants,0.748875008,0.748875008,0.748875008,0.748875008
Disaccharides,0.748875008,0.748875008,0.748875008,0.748875008
Antimycobacterials,0.748875008,0.748875008,0.748875008,0.748875008
Cytochrome P-450 CYP2B6 Inducers,0.748875008,0.748875008,0.748875008,0.748875008
Acids,0.763202782,0.763202782,0.763202782,0.763202782
"Acids, Noncarboxylic",0.763202782,0.763202782,0.763202782,0.763202782
Lipids,0.769420464,0.769420464,0.769420464,0.769420464
Chemically-Induced Disorders,0.777190019,0.777190019,0.777190019,0.777190019
Cytochrome P-450 CYP2C8 Substrates,0.7907708,0.7907708,0.7907708,0.7907708
Cholanes,0.79512245,0.79512245,0.79512245,0.79512245
Cytochrome P-450 CYP2D6 Inducers,0.79512245,0.79512245,0.79512245,0.79512245
Amino Alcohols,0.79512245,0.79512245,0.79512245,0.79512245
Cytochrome P-450 CYP2C8 Inducers,0.79512245,0.79512245,0.79512245,0.79512245
Folic Acid Analogues,0.79512245,0.79512245,0.79512245,0.79512245
Chromones,0.79512245,0.79512245,0.79512245,0.79512245
Cytochrome P-450 CYP1A2 Inhibitors (moderate),0.79512245,0.79512245,0.79512245,0.79512245
Fluorouracil and prodrugs,0.79512245,0.79512245,0.79512245,0.79512245
Pharmaceutical Preparations,0.79512245,0.79512245,0.79512245,0.79512245
Sweetening Agents,0.79512245,0.79512245,0.79512245,0.79512245
Antifungals for Topical Use,0.79512245,0.79512245,0.79512245,0.79512245
Cephalexin,0.79512245,0.79512245,0.79512245,0.79512245
Bile and Liver Therapy,0.79512245,0.79512245,0.79512245,0.79512245
Antifungals for Dermatological Use,0.79512245,0.79512245,0.79512245,0.79512245
Flavoring Agents,0.79512245,0.79512245,0.79512245,0.79512245
Antiinflammatory and Antirheumatic Products,0.79512245,0.79512245,0.79512245,0.79512245
Anthelmintics,0.79512245,0.79512245,0.79512245,0.79512245
Cytochrome P-450 CYP3A7 Inhibitors,0.79512245,0.79512245,0.79512245,0.79512245
Bile Acids and Salts,0.79512245,0.79512245,0.79512245,0.79512245
Cholic Acids,0.79512245,0.79512245,0.79512245,0.79512245
Vasoconstrictor Agents,0.79512245,0.79512245,0.79512245,0.79512245
Chelating Agents,0.79512245,0.79512245,0.79512245,0.79512245
Anti-Obesity Agents,0.79512245,0.79512245,0.79512245,0.79512245
Anti-Acne Preparations,0.801579425,0.801579425,0.801579425,0.801579425
Anti-Acne Preparations for Topical Use,0.801579425,0.801579425,0.801579425,0.801579425
Monosaccharides,0.801579425,0.801579425,0.801579425,0.801579425
"Hydrocarbons, Acyclic",0.801579425,0.801579425,0.801579425,0.801579425
Otologicals,0.801579425,0.801579425,0.801579425,0.801579425
Immunologic Factors,0.817951799,0.817951799,0.817951799,0.817951799
Protein Synthesis Inhibitors,0.817951799,0.817951799,0.817951799,0.817951799
Cardiovascular Agents,0.833603753,0.833603753,0.833603753,0.833603753
Cardiac Therapy,0.844223176,0.844223176,0.844223176,0.844223176
Cytochrome P-450 CYP2B6 Inhibitors,0.844223176,0.844223176,0.844223176,0.844223176
Protease Inhibitors,0.844223176,0.844223176,0.844223176,0.844223176
Cytochrome P-450 CYP2C19 Inhibitors,0.850449843,0.850449843,0.850449843,0.850449843
Cytochrome P-450 CYP2C19 Inducers,0.850868863,0.850868863,0.850868863,0.850868863
Intestinal Antiinfectives,0.850868863,0.850868863,0.850868863,0.850868863
Sequestering Agents,0.850868863,0.850868863,0.850868863,0.850868863
Sulfonic Acids,0.850868863,0.850868863,0.850868863,0.850868863
"Amino Acids, Branched-Chain",0.850868863,0.850868863,0.850868863,0.850868863
"Lactams, Macrocyclic",0.850868863,0.850868863,0.850868863,0.850868863
Ketones,0.850868863,0.850868863,0.850868863,0.850868863
Sugar Acids,0.850868863,0.850868863,0.850868863,0.850868863
Keto Acids,0.850868863,0.850868863,0.850868863,0.850868863
Cytochrome P-450 CYP3A Inhibitors,0.854772096,0.854772096,0.854772096,0.854772096
Immunosuppressive Agents,0.856877495,0.856877495,0.856877495,0.856877495
Coenzymes,0.856877495,0.856877495,0.856877495,0.856877495
Myelosuppressive Agents,0.863207331,0.863207331,0.863207331,0.863207331
Anions,0.878375775,0.878375775,0.878375775,0.878375775
Cytochrome P-450 CYP2E1 Inhibitors,0.878375775,0.878375775,0.878375775,0.878375775
Antihypertensive Agents,0.878375775,0.878375775,0.878375775,0.878375775
Electrolytes,0.878375775,0.878375775,0.878375775,0.878375775
Ions,0.878375775,0.878375775,0.878375775,0.878375775
Blood and Blood Forming Organs,0.88067853,0.88067853,0.88067853,0.88067853
"Antiobesity Preparations, Excl. Diet Products",0.891465673,0.891465673,0.891465673,0.891465673
Sulfur Acids,0.891465673,0.891465673,0.891465673,0.891465673
Osmotic Laxative,0.891465673,0.891465673,0.891465673,0.891465673
Macrolides,0.891465673,0.891465673,0.891465673,0.891465673
Antiinfectives and Antiseptics for Local Oral Treatment,0.891465673,0.891465673,0.891465673,0.891465673
Proteins,0.891465673,0.891465673,0.891465673,0.891465673
Cytochrome P-450 CYP2C8 Inhibitors (moderate),0.891465673,0.891465673,0.891465673,0.891465673
Food Additives,0.891465673,0.891465673,0.891465673,0.891465673
"Antidiarrheals, Intestinal Antiinflammatory/antiinfective Agents",0.891465673,0.891465673,0.891465673,0.891465673
Cycloparaffins,0.895278159,0.895278159,0.895278159,0.895278159
Enzyme Inhibitors,0.901086872,0.901086872,0.901086872,0.901086872
Cytochrome P-450 CYP3A4 Inhibitors,0.904464462,0.904464462,0.904464462,0.904464462
Ethylamines,0.905497211,0.905497211,0.905497211,0.905497211
OCT2 Inhibitors,0.905497211,0.905497211,0.905497211,0.905497211
Cytochrome P-450 CYP2D6 Inhibitors (moderate),0.905497211,0.905497211,0.905497211,0.905497211
Cytochrome P-450 CYP2C8 Inhibitors,0.907667736,0.907667736,0.907667736,0.907667736
Cytochrome P-450 CYP3A Inducers,0.907667736,0.907667736,0.907667736,0.907667736
Cytochrome P-450 CYP3A4 Inducers,0.907667736,0.907667736,0.907667736,0.907667736
Amino Acids,0.910381433,0.910381433,0.910381433,0.910381433
Protective Agents,0.912976536,0.912976536,0.912976536,0.912976536
Enzymes and Coenzymes,0.918900819,0.918900819,0.918900819,0.918900819
Uracil Nucleotides,0.921024813,0.921024813,0.921024813,0.921024813
Elements,0.921024813,0.921024813,0.921024813,0.921024813
Glycols,0.921024813,0.921024813,0.921024813,0.921024813
First-Generation Cephalosporins,0.921024813,0.921024813,0.921024813,0.921024813
Folic Acid Antagonists,0.921024813,0.921024813,0.921024813,0.921024813
OATP1B1/SLCO1B1 Substrates,0.921024813,0.921024813,0.921024813,0.921024813
Quinones,0.921024813,0.921024813,0.921024813,0.921024813
Excitatory Amino Acids,0.921024813,0.921024813,0.921024813,0.921024813
P-glycoprotein/ABCB1 Inducers,0.921024813,0.921024813,0.921024813,0.921024813
OATP1B1/SLCO1B1 Inhibitors,0.923407052,0.923407052,0.923407052,0.923407052
Neurotoxic agents,0.923407052,0.923407052,0.923407052,0.923407052
Gastrointestinal Agents,0.923407052,0.923407052,0.923407052,0.923407052
Sugar Phosphates,0.926881742,0.926881742,0.926881742,0.926881742
Ribonucleosides,0.927994219,0.927994219,0.927994219,0.927994219
Anti-Ulcer Agents,0.942543539,0.942543539,0.942543539,0.942543539
Blood Substitutes and Perfusion Solutions,0.942543539,0.942543539,0.942543539,0.942543539
"Antibiotics, Antineoplastic",0.942543539,0.942543539,0.942543539,0.942543539
Dermatologicals,0.94985818,0.94985818,0.94985818,0.94985818
Gynecological Antiinfectives and Antiseptics,0.950498038,0.950498038,0.950498038,0.950498038
Noxae,0.951289563,0.951289563,0.951289563,0.951289563
Antineoplastic Agents,0.958135417,0.958135417,0.958135417,0.958135417
Highest Risk QTc-Prolonging Agents,0.958206218,0.958206218,0.958206218,0.958206218
Polyketides,0.958206218,0.958206218,0.958206218,0.958206218
Piperidines,0.958206218,0.958206218,0.958206218,0.958206218
Phenethylamines,0.958206218,0.958206218,0.958206218,0.958206218
Food and Beverages,0.960101495,0.960101495,0.960101495,0.960101495
Physiological Phenomena,0.960101495,0.960101495,0.960101495,0.960101495
Food,0.960101495,0.960101495,0.960101495,0.960101495
Antineoplastic and Immunomodulating Agents,0.960101495,0.960101495,0.960101495,0.960101495
"Diet, Food, and Nutrition",0.960101495,0.960101495,0.960101495,0.960101495
Cytochrome P-450 CYP2C9 Inhibitors,0.960101495,0.960101495,0.960101495,0.960101495
Nucleosides,0.960159434,0.960159434,0.960159434,0.960159434
Cytochrome P-450 CYP1A2 Substrates,0.960159434,0.960159434,0.960159434,0.960159434
Pyridines,0.961846056,0.961846056,0.961846056,0.961846056
Cytochrome P-450 CYP3A5 Substrates,0.966840777,0.966840777,0.966840777,0.966840777
Steroids,0.966840777,0.966840777,0.966840777,0.966840777
Genito Urinary System and Sex Hormones,0.967955655,0.967955655,0.967955655,0.967955655
P-glycoprotein/ABCB1 Substrates,0.969132147,0.969132147,0.969132147,0.969132147
Dicarboxylic Acids,0.969604522,0.969604522,0.969604522,0.969604522
Drugs for Peptic Ulcer and Gastro-Oesophageal Reflux Disease (Gord),0.969604522,0.969604522,0.969604522,0.969604522
Pyrimidine Nucleotides,0.969604522,0.969604522,0.969604522,0.969604522
"Amino Acids, Acidic",0.969604522,0.969604522,0.969604522,0.969604522
Drugs for Acid Related Disorders,0.969604522,0.969604522,0.969604522,0.969604522
Antifungal Agents,0.969604522,0.969604522,0.969604522,0.969604522
"Antiparasitic Products, Insecticides and Repellents",0.969604522,0.969604522,0.969604522,0.969604522
Tetracyclines,0.969604522,0.969604522,0.969604522,0.969604522
Ethers,0.969604522,0.969604522,0.969604522,0.969604522
Lactones,0.969604522,0.969604522,0.969604522,0.969604522
Cytochrome P-450 Enzyme Inducers,0.973619373,0.973619373,0.973619373,0.973619373
OAT3/SLC22A8 Substrates,0.974349485,0.974349485,0.974349485,0.974349485
Antibiotics for Topical Use,0.977898045,0.977898045,0.977898045,0.977898045
"Amino Acids, Sulfur",0.977898045,0.977898045,0.977898045,0.977898045
"Antimetabolites, Antineoplastic",0.977898045,0.977898045,0.977898045,0.977898045
"Amino Acids, Dicarboxylic",0.977898045,0.977898045,0.977898045,0.977898045
Naphthacenes,0.977898045,0.977898045,0.977898045,0.977898045
Pyrimidines,0.978494678,0.978494678,0.978494678,0.978494678
Micronutrients,0.980705589,0.980705589,0.980705589,0.980705589
Moderate Risk QTc-Prolonging Agents,0.980705589,0.980705589,0.980705589,0.980705589
Agents that produce neuromuscular block (indirect),0.981575104,0.981575104,0.981575104,0.981575104
Musculo-Skeletal System,0.983931448,0.983931448,0.983931448,0.983931448
Cytochrome P-450 CYP3A4 Inhibitors (weak),0.983931448,0.983931448,0.983931448,0.983931448
Vitamin B Complex,0.985334426,0.985334426,0.985334426,0.985334426
Central Nervous System Agents,0.985556459,0.985556459,0.985556459,0.985556459
Cytochrome P-450 CYP2D6 Inhibitors,0.988849039,0.988849039,0.988849039,0.988849039
Growth Substances,0.988876382,0.988876382,0.988876382,0.988876382
Cytochrome P-450 CYP1A2 Inhibitors,0.989778652,0.989778652,0.989778652,0.989778652
Muscarinic Antagonists,0.991511293,0.991511293,0.991511293,0.991511293
Aniline Compounds,0.991511293,0.991511293,0.991511293,0.991511293
Antiparasitic Agents,0.993637187,0.993637187,0.993637187,0.993637187
Sulfonamides,0.993831776,0.993831776,0.993831776,0.993831776
Beta-Lactam Antibacterials,0.995200223,0.995200223,0.995200223,0.995200223
Vitamins,0.995200223,0.995200223,0.995200223,0.995200223
"Amino Acids, Neutral",0.995518714,0.995518714,0.995518714,0.995518714
BCRP/ABCG2 Inhibitors,0.995518714,0.995518714,0.995518714,0.995518714
Supplements,0.996090057,0.996090057,0.996090057,0.996090057
Anticholinergic Agents,0.996744864,0.996744864,0.996744864,0.996744864
Hypotensive Agents,0.996744864,0.996744864,0.996744864,0.996744864
Dietary Supplements,0.997613018,0.997613018,0.997613018,0.997613018
Agents that reduce seizure threshold,0.997634548,0.997634548,0.997634548,0.997634548
Narrow Therapeutic Index Drugs,0.997634548,0.997634548,0.997634548,0.997634548
Antiprotozoals,0.997635935,0.997635935,0.997635935,0.997635935
Sensory Organs,0.997757361,0.997757361,0.997757361,0.997757361
P-glycoprotein/ABCB1 Inhibitors,0.998722871,0.998722871,0.998722871,0.998722871
Quinolones,0.998753732,0.998753732,0.998753732,0.998753732
Agents that produce hypertension,0.998906817,0.998906817,0.998906817,0.998906817
Ophthalmologicals,0.999327028,0.999327028,0.999327028,0.999327028
Antimetabolites,0.999343466,0.999343466,0.999343466,0.999343466
Adenine Nucleotides,0.999523607,0.999523607,0.999523607,0.999523607
Quinolines,0.999523607,0.999523607,0.999523607,0.999523607
Psychotropic Drugs,0.999642848,0.999642848,0.999642848,0.999642848
Cytochrome P-450 CYP3A4 Substrates,0.999736262,0.999736262,0.999736262,0.999736262
Nephrotoxic agents,0.999751975,0.999751975,0.999751975,0.999751975
Cytochrome P-450 CYP3A Substrates,0.999786402,0.999786402,0.999786402,0.999786402
Purine Nucleotides,0.999818185,0.999818185,0.999818185,0.999818185
Central Nervous System Depressants,0.999850851,0.999850851,0.999850851,0.999850851
Sulfur Compounds,0.999859895,0.999859895,0.999859895,0.999859895
Ribonucleotides,0.999939676,0.999939676,0.999939676,0.999939676
Carbohydrates,0.999941737,0.999941737,0.999941737,0.999941737
Cytochrome P-450 Enzyme Inhibitors,0.999942411,0.999942411,0.999942411,0.999942411
"Nucleic Acids, Nucleotides, and Nucleosides",0.99994572,0.99994572,0.99994572,0.99994572
Cytochrome P-450 CYP2D6 Substrates,0.999955276,0.999955276,0.999955276,0.999955276
Serotonergic Drugs Shown to Increase Risk of Serotonin Syndrome,0.999961986,0.999961986,0.999961986,0.999961986
Azabicyclo Compounds,0.999979941,0.999979941,0.999979941,0.999979941
Nucleotides,0.999981852,0.999981852,0.999981852,0.999981852
Psychoanaleptics,0.999986175,0.999986175,0.999986175,0.999986175
Purines,0.999987814,0.999987814,0.999987814,0.999987814
Amides,0.999987831,0.999987831,0.999987831,0.999987831
Aza Compounds,0.999988,0.999988,0.999988,0.999988
beta-Lactams,0.999989003,0.999989003,0.999989003,0.999989003
Thiazines,0.999989989,0.999989989,0.999989989,0.999989989
Cephalosporins,0.999989989,0.999989989,0.999989989,0.999989989
OAT3/SLC22A8 Inhibitors,0.999992753,0.999992753,0.999992753,0.999992753
Neurotransmitter Agents,0.9999932,0.9999932,0.9999932,0.9999932
Lactams,0.999995761,0.999995761,0.999995761,0.999995761
Nervous System,0.999998416,0.999998416,0.999998416,0.999998416
QTc Prolonging Agents,0.999999512,0.999999512,0.999999512,0.999999512
Glycosides,0.999999716,0.999999716,0.999999716,0.999999716
Antiinfectives for Systemic Use,0.999999956,0.999999956,0.999999956,0.999999956
Anti-Bacterial Agents,0.999999994,0.999999994,0.999999994,0.999999994
Antibacterials for Systemic Use,0.999999997,0.999999997,0.999999997,0.999999997
Anti-Infective Agents,0.999999998,0.999999998,0.999999998,0.999999998
